ID,Type,Attributes,Attribute Count,Recent Sale Price,Recent Offer,Recent Bid
CryptoPunk 9345,Male,"['Front Beard', 'Mohawk']",2,"69.45Ξ ($258,932)","79.45Ξ ($296,215)","4Ξ ($14,536)"
CryptoPunk 9384,Male,"['Earring', 'Normal Beard', 'Shaved Head']",3,"4Ξ ($14,536)","68.75Ξ ($258,242)","4Ξ ($14,536)"
CryptoPunk 6307,Male,"['Shadow Beard', 'Silver Chain', 'Wild Hair']",3,"103Ξ ($374,301)","103Ξ ($374,301)","100Ξ ($368,423)"
CryptoPunk 6349,Male,"['Shadow Beard', 'Vape', 'Earring', 'Headband']",4,"75Ξ ($272,549)","82.95Ξ ($309,264)","83.50Ξ ($259,514)"
CryptoPunk 9510,Male,"['Wild Hair', 'Big Beard']",2,"84.99Ξ ($314,722)","105Ξ ($388,820)","81.99Ξ ($297,951)"
CryptoPunk 8091,Female,"['Knitted Cap', 'Regular Shades']",2,"81.18Ξ ($301,986)","81.18Ξ ($302,602)","95Ξ ($294,695)"
CryptoPunk 8474,Male,"['Cap Forward', 'Horned Rim Glasses']",2,"95Ξ ($353,396)","95Ξ ($362,225)","88Ξ ($327,356)"
CryptoPunk 8054,Female,"['Blue Eye Shadow', 'Bandana']",2,0.00Ξ ($0.00),0.00Ξ ($0.00),"63Ξ ($233,968)"
CryptoPunk 9351,Male,"['Earring', 'Mohawk', 'Small Shades']",3,"67.99Ξ ($252,757)","67.99Ξ ($252,920)","55Ξ ($204,895)"
CryptoPunk 2503,Male,"['Front Beard', 'Wild Hair', 'Earring']",3,"64.63Ξ ($245,434)","64.63Ξ ($244,897)","62.50Ξ ($237,346)"
CryptoPunk 6353,Male,"['Cigarette', 'Big Shades', 'Earring', 'Shaved Head']",4,"72Ξ ($273,422)","78Ξ ($316,412)","72Ξ ($269,280)"
CryptoPunk 769,Male,"['Silver Chain', 'Fedora']",2,"75.69Ξ ($286,805)","89.95Ξ ($335,362)",
CryptoPunk 4967,Male,"['Shadow Beard', 'Purple Hair', 'Small Shades']",3,"94.94Ξ ($361,380)","94.94Ξ ($354,185)",0.20Ξ ($641)
CryptoPunk 642,Female,"['Pink With Hat', 'Purple Lipstick']",2,"168Ξ ($639,475)","168Ξ ($644,818)","117Ξ ($511,842)"
CryptoPunk 5902,Male,"['Hoodie', 'Shadow Beard', 'Small Shades']",3,315Ξ ($1.2M),315Ξ ($1.28M),275Ξ ($1.3M)
CryptoPunk 7729,Male,"['Muttonchops', 'Earring', 'Crazy Hair']",3,"70Ξ ($266,448)","78.99Ξ ($294,500)","0.72Ξ ($2,671)"
CryptoPunk 8583,Male,"['Front Beard', 'Police Cap']",2,"70Ξ ($258,800)","70Ξ ($260,014)","66.50Ξ ($246,694)"
CryptoPunk 9285,Male,"['Normal Beard Black', 'Crazy Hair', 'Regular Shades']",3,"103Ξ ($385,759)","103Ξ ($385,759)","72.99Ξ ($273,988)"
CryptoPunk 5767,Male,"['Luxurious Beard', 'Purple Hair', 'Mole']",3,"109Ξ ($408,230)","124.95Ξ ($465,854)","28.50Ξ ($68,756)"
CryptoPunk 9726,Male,"['Shadow Beard', 'Earring', 'Shaved Head']",3,"77.77Ξ ($291,619)","77.77Ξ ($315,806)","71.50Ξ ($291,069)"
CryptoPunk 1194,Male,"['Goat', 'Mohawk']",2,"62Ξ ($231,298)","67.99Ξ ($254,954)",
CryptoPunk 8808,Male,"['Bandana', 'Normal Beard Black', 'VR']",3,"107Ξ ($399,460)","107Ξ ($399,460)","90Ξ ($406,176)"
CryptoPunk 6307,Male,"['Shadow Beard', 'Silver Chain', 'Wild Hair']",3,"103Ξ ($374,301)","103Ξ ($374,301)","100Ξ ($368,423)"
CryptoPunk 3994,Male,"['Shadow Beard', 'Crazy Hair', 'Small Shades']",3,"105.69Ξ ($394,569)","105.69Ξ ($394,192)","100Ξ ($373,327)"
CryptoPunk 6138,Male,"['Shadow Beard', 'Purple Hair', 'Earring', 'Horned Rim Glasses']",4,"87Ξ ($324,794)","104.95Ξ ($391,287)","0.50Ξ ($1,423)"
CryptoPunk 197,Male,"['Frumpy Hair', 'Eye Patch']",2,"65Ξ ($242,430)","65Ξ ($242,430)","64Ξ ($231,750)"
CryptoPunk 7564,Male,"['Rosy Cheeks', 'Shaved Head']",2,"68.75Ξ ($254,395)","68.75Ξ ($256,662)","51Ξ ($191,227)"
CryptoPunk 4932,Male,"['Silver Chain', 'Do-rag']",2,"77.90Ξ ($290,544)","77.90Ξ ($317,739)","100Ξ ($337,200)"
CryptoPunk 2200,Male,"['Knitted Cap', 'Big Beard']",2,"74Ξ ($277,814)","114Ξ ($414,275)","72Ξ ($270,306)"
CryptoPunk 3491,Male,"['Cigarette', 'Mustache', 'Earring', 'Crazy Hair', 'Mole']",5,0Ξ ($37),"199.69Ξ ($749,686)",0Ξ ($40)
CryptoPunk 340,Male,"['Muttonchops', 'Headband', 'Medical Mask', '3D Glasses']",4,"140Ξ ($523,600)","140Ξ ($564,570)","75Ξ ($277,358)"
CryptoPunk 3491,Male,"['Cigarette', 'Mustache', 'Earring', 'Crazy Hair', 'Mole']",5,0Ξ ($37),"199.69Ξ ($749,686)",0Ξ ($40)
CryptoPunk 3812,Female,"['Spots', 'Purple Eye Shadow', 'Straight Hair Blonde', 'Hot Lipstick']",4,"72.75Ξ ($272,085)","74.99Ξ ($275,652)","72.75Ξ ($266,717)"
CryptoPunk 4664,Female,"['Mole', 'Mohawk Thin', 'Purple Lipstick']",3,"64Ξ ($239,559)","74Ξ ($273,821)","64Ξ ($250,128)"
CryptoPunk 9297,Male,"['Handlebars', 'Crazy Hair', 'VR']",3,"94.95Ξ ($353,769)","94.95Ξ ($360,914)","70Ξ ($278,876)"
CryptoPunk 2257,Female,"['Mohawk', 'Hot Lipstick', 'Classic Shades']",3,"67Ξ ($249,237)",,"57.90Ξ ($234,215)"
CryptoPunk 8054,Female,"['Blue Eye Shadow', 'Bandana']",2,0.00Ξ ($0.00),0.00Ξ ($0.00),"63Ξ ($233,968)"
CryptoPunk 2221,Male,"['Wild Hair', 'Horned Rim Glasses']",2,"105Ξ ($381,862)","105Ξ ($381,862)","95Ξ ($357,685)"
CryptoPunk 197,Male,"['Frumpy Hair', 'Eye Patch']",2,"65Ξ ($242,430)","65Ξ ($242,430)","64Ξ ($231,750)"
CryptoPunk 7622,Female,"['Black Lipstick', 'Spots', 'Green Eye Shadow', 'Dark Hair']",4,"249.95Ξ ($915,897)",350Ξ ($1.33M),"249.95Ξ ($948,510)"
CryptoPunk 8165,Male,"['Vape', 'Crazy Hair']",2,"85.88Ξ ($314,415)","85.88Ξ ($353,086)","82.88Ξ ($324,596)"
CryptoPunk 9673,Male,"['Classic Shades', 'Earring', 'Shaved Head']",3,"72Ξ ($260,718)","72.95Ξ ($282,113)","72Ξ ($260,718)"
CryptoPunk 9540,Female,"['Blue Eye Shadow', 'Messy Hair', 'Purple Lipstick', 'Earring']",4,"73.99Ξ ($267,924)","73.99Ξ ($304,202)","63.85Ξ ($244,748)"
CryptoPunk 6258,Male,"['Shadow Beard', 'Mohawk Dark']",2,"74Ξ ($267,961)","74Ξ ($297,416)","50Ξ ($187,156)"
CryptoPunk 3041,Male,"['Purple Hair', 'Mustache']",2,"75Ξ ($271,582)","75Ξ ($284,872)","74Ξ ($278,774)"
CryptoPunk 564,Male,"['Mohawk', 'Big Beard']",2,"72.99Ξ ($271,626)","72.99Ξ ($272,073)","66Ξ ($238,992)"
CryptoPunk 7948,Male,"['Handlebars', 'Purple Hair', 'Earring']",3,"77.95Ξ ($290,084)","77.95Ξ ($296,296)","74.50Ξ ($277,245)"
CryptoPunk 1556,Female,"['Pigtails', 'Purple Lipstick', 'Earring']",3,"81Ξ ($306,926)","94.95Ξ ($354,004)","42Ξ ($94,005)"
CryptoPunk 3708,Male,"['Peak Spike', 'Muttonchops', 'Earring']",3,"66Ξ ($246,207)","88Ξ ($318,656)","64Ξ ($239,360)"
CryptoPunk 5879,Female,"['Green Eye Shadow', 'Earring', 'Straight Hair Dark']",3,"69.95Ξ ($265,446)","80Ξ ($290,719)","68Ξ ($278,892)"
CryptoPunk 2376,Male,"['Handlebars', 'Headband']",2,"67Ξ ($254,252)","73.95Ξ ($280,625)","16Ξ ($60,646)"
CryptoPunk 1639,Male,"['Shadow Beard', 'Mohawk']",2,"65.95Ξ ($251,007)","65.95Ξ ($255,042)","58Ξ ($239,453)"
CryptoPunk 6967,Male,"['Normal Beard Black', 'Mohawk Thin']",2,"65.94Ξ ($244,616)","65.94Ξ ($246,616)","63Ξ ($247,611)"
CryptoPunk 7969,Male,"['Muttonchops', 'Headband', 'Eye Patch']",3,"69.42Ξ ($265,949)","72.51Ξ ($272,285)","64Ξ ($250,128)"
CryptoPunk 2907,Male,"['Messy Hair', 'Goat', 'Eye Patch']",3,"66.88Ξ ($247,475)","66.88Ξ ($250,131)","65Ξ ($246,299)"
CryptoPunk 9752,Male,"['Front Beard', 'Medical Mask', 'Mohawk']",3,"26Ξ ($98,829)","26Ξ ($100,547)","54.50Ξ ($171,747)"
CryptoPunk 9665,Male,"['Police Cap', 'Earring', 'Horned Rim Glasses']",3,"75Ξ ($287,898)","80Ξ ($318,618)","75Ξ ($293,734)"
CryptoPunk 6224,Female,"['Clown Eyes Green', 'Medical Mask', 'Straight Hair', 'Earring']",4,"69.49Ξ ($271,584)","69.49Ξ ($271,584)","63Ξ ($246,220)"
CryptoPunk 5994,Male,"['Cap Forward', 'Normal Beard', 'Regular Shades']",3,"74.90Ξ ($292,267)","74.90Ξ ($293,170)","58.58Ξ ($237,272)"
CryptoPunk 7708,Male,"['Cigarette', 'Muttonchops', 'Crazy Hair', 'Eye Patch']",4,"74Ξ ($288,755)","74Ξ ($291,507)","55.55Ξ ($220,540)"
CryptoPunk 9620,Female,"['Blue Eye Shadow', 'Black Lipstick', 'Bandana']",3,0.00Ξ ($0.00),0.00Ξ ($0.00),"62Ξ ($251,007)"
CryptoPunk 3859,Female,"['Mohawk Thin', 'VR', 'Cigarette']",3,"94Ξ ($366,795)","94Ξ ($381,333)","84.95Ξ ($352,995)"
CryptoPunk 1857,Female,"['Eye Mask', 'Black Lipstick', 'Straight Hair Dark']",3,"75Ξ ($304,798)","75Ξ ($304,798)","71Ξ ($321,493)"
CryptoPunk 4124,Male,"['Purple Hair', 'Eye Patch']",2,"83Ξ ($337,310)","83.90Ξ ($312,105)","78Ξ ($321,093)"
CryptoPunk 9537,Male,"['Cap', 'Mustache', 'Earring', 'Regular Shades']",4,"79Ξ ($322,497)","97.99Ξ ($372,989)","79Ξ ($322,497)"
CryptoPunk 5857,Female,"['Mohawk', 'Cigarette']",2,"68.98Ξ ($281,901)","68.98Ξ ($282,690)","111Ξ ($376,521)"
CryptoPunk 5543,Male,"['Cigarette', 'Shadow Beard', 'Wild Hair']",3,"79Ξ ($324,800)","94.95Ξ ($354,004)","79Ξ ($321,058)"
CryptoPunk 9449,Male,"['Police Cap', 'Front Beard Dark']",2,"80Ξ ($329,816)","89.50Ξ ($369,983)","80Ξ ($329,816)"
CryptoPunk 3052,Male,"['Normal Beard Black', 'Cap', 'Medical Mask']",3,"86Ξ ($352,173)","100Ξ ($374,407)","86Ξ ($351,457)"
CryptoPunk 2511,Male,"['Earring', 'Mohawk']",2,0.00Ξ ($0.00),0.00Ξ ($0.00),<0.01Ξ ($3)
CryptoPunk 8585,Female,"['Dark Hair', 'Purple Lipstick', 'Nerd Glasses']",3,"71.95Ξ ($292,831)","71.95Ξ ($292,920)","64.50Ξ ($261,690)"
CryptoPunk 2848,Male,"['Mohawk Thin', 'Mustache', 'Earring']",3,"72Ξ ($293,034)","72Ξ ($294,324)","68Ξ ($276,755)"
CryptoPunk 3812,Female,"['Spots', 'Purple Eye Shadow', 'Straight Hair Blonde', 'Hot Lipstick']",4,"72.75Ξ ($272,085)","74.99Ξ ($275,652)","72.75Ξ ($266,717)"
CryptoPunk 3041,Male,"['Purple Hair', 'Mustache']",2,"75Ξ ($271,582)","75Ξ ($284,872)","74Ξ ($278,774)"
CryptoPunk 5103,Male,"['Frumpy Hair', 'Normal Beard', 'VR']",3,"80Ξ ($325,390)","89.95Ξ ($335,362)","75Ξ ($304,508)"
CryptoPunk 1180,Male,"['Muttonchops', 'Mohawk']",2,"67Ξ ($272,514)","79Ξ ($321,323)","65Ξ ($264,380)"
CryptoPunk 8455,Male,"['Police Cap', 'Muttonchops', 'Clown Eyes Green']",3,"69.99Ξ ($284,940)","69.99Ξ ($285,805)","67Ξ ($272,797)"
CryptoPunk 6566,Female,"['Knitted Cap', 'Earring', '3D Glasses']",3,"121.50Ξ ($494,646)","125Ξ ($506,862)","121.50Ξ ($494,646)"
CryptoPunk 2286,Female,"['Regular Shades', 'Stringy Hair']",2,"65.50Ξ ($266,661)","65.50Ξ ($251,083)","62Ξ ($250,999)"
CryptoPunk 8585,Female,"['Dark Hair', 'Purple Lipstick', 'Nerd Glasses']",3,"71.95Ξ ($292,831)","71.95Ξ ($292,920)","64.50Ξ ($261,690)"
CryptoPunk 9641,Female,"['Orange Side', 'Hot Lipstick', 'Earring']",3,"130Ξ ($526,146)","130Ξ ($517,728)","98Ξ ($398,752)"
CryptoPunk 9620,Female,"['Blue Eye Shadow', 'Black Lipstick', 'Bandana']",3,0.00Ξ ($0.00),0.00Ξ ($0.00),"62Ξ ($251,007)"
CryptoPunk 8285,Male,"['Cigarette', 'Normal Beard', 'Mohawk Dark']",3,"68.89Ξ ($254,913)","68.89Ξ ($254,816)","64Ξ ($260,312)"
CryptoPunk 3193,Male,"['Peak Spike', 'Clown Eyes Green']",2,"65.45Ξ ($270,210)","65.45Ξ ($266,385)","60Ξ ($245,011)"
CryptoPunk 9337,Male,"['Luxurious Beard', 'Earring', 'Mohawk']",3,"74.99Ξ ($309,596)","85Ξ ($346,897)","73Ξ ($297,524)"
CryptoPunk 1210,Female,"['Purple Eye Shadow', 'Wild Blonde', 'Purple Lipstick', 'Cigarette']",4,"100Ξ ($412,850)","100Ξ ($406,890)","88Ξ ($360,920)"
CryptoPunk 6502,Male,"['Buck Teeth', 'Do-rag']",2,"86.95Ξ ($354,379)","130Ξ ($529,837)","75Ξ ($342,722)"
CryptoPunk 7479,Male,"['Bandana', 'Normal Beard Black', '3D Glasses']",3,"119Ξ ($485,005)","119Ξ ($482,610)","105Ξ ($425,653)"
CryptoPunk 4240,Male,"['Buck Teeth', 'Earring', 'Goat']",3,"88.88Ξ ($363,445)","88.88Ξ ($364,852)","84.30Ξ ($344,717)"
CryptoPunk 5389,Female,"['Welding Goggles', 'Wild Hair']",2,"98.99Ξ ($401,155)","98.99Ξ ($403,306)","88Ξ ($383,451)"
CryptoPunk 9066,Female,"['Big Shades', 'Black Lipstick', 'Straight Hair', 'Cigarette']",4,"69Ξ ($279,795)","69Ξ ($274,657)","65Ξ ($263,411)"
CryptoPunk 2533,Female,"['Mole', 'Big Shades', 'Straight Hair', 'Purple Lipstick']",4,"96Ξ ($388,069)","96Ξ ($422,922)","75Ξ ($303,179)"
CryptoPunk 2080,Male,"['Purple Hair', 'Vape']",2,"74.20Ξ ($301,009)","83.99Ξ ($306,204)","63Ξ ($255,500)"
CryptoPunk 5879,Female,"['Green Eye Shadow', 'Earring', 'Straight Hair Dark']",3,"69.95Ξ ($265,446)","80Ξ ($290,719)","68Ξ ($278,892)"
CryptoPunk 1085,Male,"['Cigarette', 'Big Shades', 'Mohawk Dark']",3,"79.95Ξ ($324,336)","79.95Ξ ($324,105)","75Ξ ($304,508)"
CryptoPunk 6927,Male,"['Messy Hair', 'Big Shades', 'Goat']",3,"75Ξ ($304,508)","75Ξ ($299,297)","65Ξ ($263,947)"
CryptoPunk 4460,Male,"['Cap', 'Muttonchops']",2,"71.75Ξ ($291,312)","86.49Ξ ($321,739)",
CryptoPunk 6846,Male,"['Mohawk Thin', 'Earring', 'Horned Rim Glasses']",3,"65Ξ ($263,500)","65Ξ ($263,275)","60Ξ ($243,606)"
CryptoPunk 9337,Male,"['Luxurious Beard', 'Earring', 'Mohawk']",3,"74.99Ξ ($309,596)","85Ξ ($346,897)","73Ξ ($297,524)"
CryptoPunk 8305,Male,"['Cigarette', 'Clown Nose', 'Hoodie', '3D Glasses']",4,250Ξ ($1.02M),299.95Ξ ($1.22M),"165Ξ ($663,915)"
CryptoPunk 6633,Male,"['Stringy Hair', 'Earring', 'Smile', '3D Glasses']",4,"119Ξ ($481,996)","119Ξ ($487,976)","109Ξ ($442,323)"
CryptoPunk 3653,Female,"['Black Lipstick', 'Straight Hair Blonde']",2,"80Ξ ($328,229)","80Ξ ($328,255)","63.50Ξ ($160,456)"
CryptoPunk 5279,Female,"['Blue Eye Shadow', 'Bandana']",2,"67.50Ξ ($276,793)","67.50Ξ ($277,087)","100Ξ ($286,394)"
CryptoPunk 5133,Male,"['Big Shades', 'Earring', 'Normal Beard', 'Mohawk Dark']",4,"104.20Ξ ($427,287)","104.20Ξ ($452,206)",
CryptoPunk 8959,Female,"['Knitted Cap', 'Green Eye Shadow', 'Earring']",3,"65Ξ ($264,824)","65Ξ ($247,268)",
CryptoPunk 5131,Male,"['Mohawk Thin', 'Earring', 'Smile']",3,"70Ξ ($287,349)","77.70Ξ ($314,094)","58Ξ ($235,318)"
CryptoPunk 6196,Male,"['Clown Eyes Blue', 'Luxurious Beard', 'Knitted Cap']",3,"76Ξ ($311,979)","84.99Ξ ($345,687)","69Ξ ($290,241)"
CryptoPunk 2557,Male,"['Goat', 'Do-rag', 'Mole']",3,0.00Ξ ($0.00),0.00Ξ ($0.00),"54Ξ ($221,739)"
CryptoPunk 8315,Male,"['Cap', 'Earring', 'Pipe']",3,"95Ξ ($389,974)","140.69Ξ ($573,201)","73Ξ ($296,015)"
CryptoPunk 5279,Female,"['Blue Eye Shadow', 'Bandana']",2,"67.50Ξ ($276,793)","67.50Ξ ($277,087)","100Ξ ($286,394)"
CryptoPunk 9297,Male,"['Handlebars', 'Crazy Hair', 'VR']",3,"94.95Ξ ($353,769)","94.95Ξ ($360,914)","70Ξ ($278,876)"
CryptoPunk 7656,Male,"['Beanie', 'Handlebars']",2,285.69Ξ ($1.17M),349.95Ξ ($1.42M),"226Ξ ($910,527)"
CryptoPunk 3021,Male,"['Messy Hair', 'Handlebars', 'VR']",3,"89.95Ξ ($369,244)","89.95Ξ ($369,244)","70Ξ ($273,892)"
CryptoPunk 5443,Male,"['Front Beard', 'Wild Hair', 'Mole']",3,"68Ξ ($279,139)","68Ξ ($259,510)","64Ξ ($260,554)"
CryptoPunk 704,Male,"['Cap Forward', 'Mustache', 'Smile']",3,"72.99Ξ ($299,623)",,"75Ξ ($305,244)"
CryptoPunk 3345,Female,"['Gold Chain', 'Dark Hair']",2,"96.69Ξ ($396,912)","96.69Ξ ($389,616)","130Ξ ($483,435)"
CryptoPunk 8653,Male,"['Cigarette', 'Peak Spike', 'Mole']",3,"65Ξ ($266,824)","65Ξ ($257,655)","69Ξ ($284,960)"
CryptoPunk 5254,Female,"['Stringy Hair', 'Clown Eyes Blue', 'Cigarette']",3,"63.95Ξ ($262,514)","74.95Ξ ($284,001)","49.49Ξ ($203,243)"
CryptoPunk 9828,Female,"['Black Lipstick', 'Straight Hair Blonde', 'Earring', 'Nerd Glasses']",4,"64.80Ξ ($266,003)","71.95Ξ ($266,236)","59Ξ ($240,133)"
CryptoPunk 8068,Male,"['Eye Mask', 'Normal Beard Black', 'Crazy Hair']",3,"81.95Ξ ($336,404)","81.95Ξ ($330,167)","69Ξ ($283,118)"
CryptoPunk 1770,Male,"['Frumpy Hair', 'Smile', 'Regular Shades']",3,"75Ξ ($307,874)","92.95Ξ ($346,547)","63Ξ ($258,614)"
CryptoPunk 3994,Male,"['Shadow Beard', 'Crazy Hair', 'Small Shades']",3,"105.69Ξ ($394,569)","105.69Ξ ($394,192)","100Ξ ($373,327)"
CryptoPunk 385,Female,"['Choker', 'Wild Hair']",2,"104.95Ξ ($430,819)","142.07Ξ ($517,944)","72Ξ ($295,559)"
CryptoPunk 3931,Male,"['Vampire Hair', 'Goat']",2,"65Ξ ($266,824)","65Ξ ($256,288)","59Ξ ($242,194)"
CryptoPunk 9673,Male,"['Classic Shades', 'Earring', 'Shaved Head']",3,"72Ξ ($260,718)","72.95Ξ ($282,113)","72Ξ ($260,718)"
CryptoPunk 3922,Male,"['Stringy Hair', 'Classic Shades']",2,"61Ξ ($250,404)","72.99Ξ ($273,679)","66Ξ ($248,698)"
CryptoPunk 7948,Male,"['Handlebars', 'Purple Hair', 'Earring']",3,"77.95Ξ ($290,084)","77.95Ξ ($296,296)","74.50Ξ ($277,245)"
CryptoPunk 3628,Female,"['Straight Hair', 'Hot Lipstick', 'Classic Shades']",3,"61.95Ξ ($252,955)","79.99Ξ ($323,742)","52Ξ ($212,327)"
CryptoPunk 3980,Male,"['Eye Mask', 'Headband']",2,"74.95Ξ ($306,037)","74.95Ξ ($307,534)",
CryptoPunk 2675,Female,"['Blue Eye Shadow', 'Stringy Hair', 'Purple Lipstick']",3,"60Ξ ($244,993)","79.95Ξ ($324,438)","54Ξ ($221,669)"
CryptoPunk 9656,Male,"['Frumpy Hair', 'Earring', 'Mole']",3,"59.95Ξ ($244,788)","74.50Ξ ($282,737)","55Ξ ($224,577)"
CryptoPunk 9603,Male,"['Clown Nose', 'Horned Rim Glasses', 'Shaved Head']",3,"62.66Ξ ($255,854)","62.66Ξ ($254,954)","55Ξ ($224,577)"
CryptoPunk 2776,Male,"['Spots', 'Earring', 'Mohawk']",3,"61.99Ξ ($253,118)","61.99Ξ ($245,901)","50Ξ ($204,160)"
CryptoPunk 2498,Male,"['Cigarette', 'Shadow Beard', 'Classic Shades', 'Do-rag']",4,"63.49Ξ ($260,510)","77.95Ξ ($290,623)","66Ξ ($269,017)"
CryptoPunk 8033,Male,"['Cap Forward', '3D Glasses']",2,"88Ξ ($361,078)","88Ξ ($361,078)","175Ξ ($771,130)"
CryptoPunk 6839,Male,"['Fedora', 'Earring', 'Medical Mask']",3,"80Ξ ($328,253)",,"68Ξ ($275,740)"
CryptoPunk 985,Female,"['Big Shades', 'Blonde Bob']",2,"98Ξ ($402,110)","98Ξ ($388,464)","105Ξ ($479,793)"
CryptoPunk 5071,Female,"['Big Shades', 'Bandana', 'Hot Lipstick']",3,"64.95Ξ ($265,890)","64.95Ξ ($266,502)","55Ξ ($226,186)"
CryptoPunk 2557,Male,"['Goat', 'Do-rag', 'Mole']",3,0.00Ξ ($0.00),0.00Ξ ($0.00),"54Ξ ($221,739)"
CryptoPunk 8334,Male,"['Muttonchops', 'Fedora', 'Classic Shades']",3,"69Ξ ($283,760)","69Ξ ($274,526)","63Ξ ($259,086)"
CryptoPunk 489,Male,"['Classic Shades', 'Do-rag']",2,"73.50Ξ ($301,063)","73.50Ξ ($294,717)","95Ξ ($378,958)"
CryptoPunk 9842,Male,"['Normal Beard Black', 'Cap Forward', 'Earring']",3,"59.90Ξ ($245,356)","94.99Ξ ($354,153)","84Ξ ($319,056)"
CryptoPunk 9598,Female,"['Big Shades', 'Black Lipstick', 'Straight Hair Dark']",3,"59.95Ξ ($244,903)","59.95Ξ ($245,986)","50Ξ ($204,256)"
CryptoPunk 5212,Female,"['Clown Eyes Green', 'Purple Lipstick', 'Blonde Bob']",3,"61.90Ξ ($252,869)","84Ξ ($339,561)","55Ξ ($225,958)"
